Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,W1,W1pre,W1post,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,W2,W2pre,W2pos,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,W3,W3pre,W3pos,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
1,1,1,100,86,29,71.66666667,47.77777778,-52.22222222,-38.22222222,18.77777778,30,20,25,16.66666667,50,33.33333333,-75,-83.33333333,-50,-66.66666667,-1.046511628,-1.162790698,-0.697674419,-0.930232558,75,83.33333333,50,66.66666667,1.046511628,1.162790698,0.697674419,0.930232558,0,0,1,0,46,15,30.5,20.33333333,49,32.66666667,-55.5,-65.66666667,-37,-53.33333333,-0.774418605,-0.91627907,-0.51627907,-0.744186047,55.5,65.66666667,37,53.33333333,0.774418605,0.91627907,0.51627907,0.744186047,0,0,0,0,72,50,61,40.66666667,50.33333333,33.55555556,32,11.66666667,21.33333333,4.555555556,0.446511628,0.162790698,0.297674419,0.063565891,32,11.66666667,21.33333333,4.555555556,0.446511628,0.162790698,0.297674419,0.063565891,1,1,0,0,1,0,6,,,,
1,1,2,33,71,14,39.33333333,26.22222222,-6.777777778,-44.77777778,12.22222222,50,70,60,40,51,34,27,7,18,1,0.686440678,0.177966102,0.457627119,0.025423729,27,7,18,1,0.686440678,0.177966102,0.457627119,0.025423729,1,1,0,1,1,38,19.5,13,36.66666667,24.44444444,-51.5,-58,-34.33333333,-46.55555556,-1.309322034,-1.474576271,-0.872881356,-1.183615819,51.5,58,34.33333333,46.55555556,1.309322034,1.474576271,0.872881356,1.183615819,0,0,1,1,25,39,32,21.33333333,26,17.33333333,18,7.333333333,12,3.333333333,0.457627119,0.186440678,0.305084746,0.084745763,18,7.333333333,12,3.333333333,0.457627119,0.186440678,0.305084746,0.084745763,0,0,0,0,7,1,0,,,,
1,1,3,27,30,2,19.66666667,13.11111111,-13.88888889,-16.88888889,11.11111111,30,60,45,30,39,26,18,3,12,-1,0.915254237,0.152542373,0.610169492,-0.050847458,18,3,12,1,0.915254237,0.152542373,0.610169492,0.050847458,0,0,1,0,52,10,31,20.66666667,30.66666667,20.44444444,1,-9.333333333,0.666666667,-9.555555556,0.050847458,-0.474576271,0.033898305,-0.485875706,1,9.333333333,0.666666667,9.555555556,0.050847458,0.474576271,0.033898305,0.485875706,0,0,0,0,33,10,21.5,14.33333333,15,10,19.5,12.33333333,13,8,0.991525424,0.627118644,0.661016949,0.406779661,19.5,12.33333333,13,8,0.991525424,0.627118644,0.661016949,0.406779661,1,1,0,1,1,0,7,,,,
1,1,4,7,11,19,12.33333333,8.222222222,1.222222222,-2.777777778,-10.77777778,20,30,25,16.66666667,19,12.66666667,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,1,1,0,1,5,51,28,18.66666667,22.33333333,14.88888889,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,0,0,0,1,25,63,44,29.33333333,35.66666667,23.77777778,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,0,0,1,0,7,1,0,16,2,13,
1,2,5,23,54,90,55.66666667,37.11111111,14.11111111,-16.88888889,-52.88888889,20,60,40,26.66666667,34.33333333,22.88888889,17,3.666666667,11.33333333,-0.111111111,0.305389222,0.065868263,0.203592814,-0.001996008,17,3.666666667,11.33333333,0.111111111,0.305389222,0.065868263,0.203592814,0.001996008,1,0,1,1,85,45,65,43.33333333,61.33333333,40.88888889,11,-10.66666667,7.333333333,-13.11111111,0.19760479,-0.191616766,0.131736527,-0.235528942,11,10.66666667,7.333333333,13.11111111,0.19760479,0.191616766,0.131736527,0.235528942,0,1,0,1,75,99,87,58,88,58.66666667,-3,-32,-2,-31.33333333,-0.053892216,-0.574850299,-0.035928144,-0.562874251,3,32,2,31.33333333,0.053892216,0.574850299,0.035928144,0.562874251,0,0,0,0,6,1,0,,,,
1,2,6,33,26,47,35.33333333,23.55555556,-9.444444444,-2.444444444,-23.44444444,70,20,45,30,41,27.33333333,12,-3,8,-5.666666667,0.339622642,-0.08490566,0.226415094,-0.160377358,12,3,8,5.666666667,0.339622642,0.08490566,0.226415094,0.160377358,0,1,1,2,45,35,40,26.66666667,35.33333333,23.55555556,14,0.666666667,9.333333333,-2.444444444,0.396226415,0.018867925,0.264150943,-0.06918239,14,0.666666667,9.333333333,2.444444444,0.396226415,0.018867925,0.264150943,0.06918239,1,0,0,2,59,33,46,30.66666667,46.33333333,30.88888889,-1,-16.33333333,-0.666666667,-16.11111111,-0.028301887,-0.462264151,-0.018867925,-0.455974843,1,16.33333333,0.666666667,16.11111111,0.028301887,0.462264151,0.018867925,0.455974843,0,0,0,1,0,8,1,,,,
1,2,7,14,25,30,23,15.33333333,1.333333333,-9.666666667,-14.66666667,20,15,17.5,11.66666667,16.33333333,10.88888889,3.5,-2.333333333,2.333333333,-3.111111111,0.152173913,-0.101449275,0.101449275,-0.1352657,3.5,2.333333333,2.333333333,3.111111111,0.152173913,0.101449275,0.101449275,0.1352657,1,0,0,1,47,26,36.5,24.33333333,32.66666667,21.77777778,11.5,-0.666666667,7.666666667,-3.222222222,0.5,-0.028985507,0.333333333,-0.140096618,11.5,0.666666667,7.666666667,3.222222222,0.5,0.028985507,0.333333333,0.140096618,0,1,0,1,28,35,31.5,21,31,20.66666667,1.5,-9,1,-9.333333333,0.065217391,-0.391304348,0.043478261,-0.405797101,1.5,9,1,9.333333333,0.065217391,0.391304348,0.043478261,0.405797101,0,1,1,1,7,1,1,,,,
1,2,8,7,26,9,14,9.333333333,2.333333333,-16.66666667,0.333333333,20,15,17.5,11.66666667,14,9.333333333,10.5,4.666666667,7,2.333333333,0.75,0.333333333,0.5,0.166666667,10.5,4.666666667,7,2.333333333,0.75,0.333333333,0.5,0.166666667,0,0,1,0,15,32,23.5,15.66666667,24.33333333,16.22222222,-2.5,-10.33333333,-1.666666667,-9.777777778,-0.178571429,-0.738095238,-0.119047619,-0.698412698,2.5,10.33333333,1.666666667,9.777777778,0.178571429,0.738095238,0.119047619,0.698412698,0,1,0,0,20,15,17.5,11.66666667,14.66666667,9.777777778,8.5,2.666666667,5.666666667,0.777777778,0.607142857,0.19047619,0.404761905,0.055555556,8.5,2.666666667,5.666666667,0.777777778,0.607142857,0.19047619,0.404761905,0.055555556,1,0,0,0,0,0,6,13,10,8,
2,1,1,100,30,58,62.66666667,41.77777778,-58.22222222,11.77777778,-16.22222222,5,95,50,33.33333333,66.66666667,44.44444444,-50,-66.66666667,-33.33333333,-55.55555556,-0.79787234,-1.063829787,-0.531914894,-0.886524823,50,66.66666667,33.33333333,55.55555556,0.79787234,1.063829787,0.531914894,0.886524823,0,1,1,0,50,85,67.5,45,55,36.66666667,37.5,15,25,6.666666667,0.598404255,0.239361702,0.39893617,0.106382979,37.5,15,25,6.666666667,0.598404255,0.239361702,0.39893617,0.106382979,1,0,0,0,20,52,36,24,43.33333333,28.88888889,-22,-34,-14.66666667,-29.11111111,-0.35106383,-0.542553191,-0.234042553,-0.464539007,22,34,14.66666667,29.11111111,0.35106383,0.542553191,0.234042553,0.464539007,0,0,0,0,0,6,0,,,,
2,1,2,40,45,52,45.66666667,30.44444444,-9.555555556,-14.55555556,-21.55555556,25,16,20.5,13.66666667,27,18,-19.5,-26.33333333,-13,-22,-0.427007299,-0.576642336,-0.284671533,-0.481751825,19.5,26.33333333,13,22,0.427007299,0.576642336,0.284671533,0.481751825,1,1,1,0,25,60,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,-0.054744526,-0.364963504,-0.03649635,-0.352798054,2.5,16.66666667,1.666666667,16.11111111,0.054744526,0.364963504,0.03649635,0.352798054,0,0,0,0,18,50,34,22.66666667,40,26.66666667,-18,-29.33333333,-12,-25.33333333,-0.394160584,-0.642335766,-0.262773723,-0.554744526,18,29.33333333,12,25.33333333,0.394160584,0.642335766,0.262773723,0.554744526,0,0,0,1,6,0,1,,,,
